Time,Consuming Time(ms),Producing Time(ms),Response time(ms),Message Size(bytes),CPU Utilization(%),Memory Consumption(gb),Disk Free Space(gb),Brick Space,Kafka Total Space(mb),Topic Space(mb),Total Time (sec)
19:17:15,12.448176,9.075102,1594.862109,62208,1.74,1.031,4.9,69,388,0.719,98
19:17:19,13.044327,9.766089,1751.998772,65664,1.74,1.032,4.9,69,389,0.747,102
19:17:23,13.699268,10.155849,1819.792851,65664,1.68,1.032,4.9,69,389,0.775,106
19:17:27,13.886244,9.848637,1887.999689,65664,1.73,1.032,4.9,69,389,0.802,110
19:17:31,13.540014,9.498004,1955.735183,65664,1.6,1.032,4.9,69,389,0.829,114
19:17:35,13.716775,9.487867,2023.849151,65664,1.2,1.032,4.9,69,389,0.856,118
19:17:39,13.397544,8.876471,1981.429272,62208,1.26,1.031,4.9,69,389,0.882,122
19:17:43,4.526893,9.28121,2158.820993,65664,1.3,1.031,4.9,69,389,0.909,126
19:17:47,4.701086,9.440791,2226.613458,65664,1.32,1.032,4.9,69,389,0.936,130
19:17:51,4.851352,9.248052,2294.712847,65664,1.28,1.032,4.9,69,389,0.963,134
19:17:55,5.515226,9.284964,2362.496636,65664,1.37,1.032,4.9,69,389,0.989,138
19:17:59,5.69814,9.637362,2430.659182,65664,1.42,1.032,4.9,69,389,1.016,142
19:18:03,5.888981,9.475441,2499.009908,49248,1.25,1.031,4.9,69,389,1.1,145
19:18:07,6.046197,9.635789,2566.86241,65664,1.36,1.032,4.9,69,389,1.1,149
19:18:11,5.624736,9.208008,2495.659268,62208,1.68,1.031,4.9,69,389,1.1,153
19:18:15,6.354741,9.19757,2701.812717,65664,1.36,1.032,4.9,69,389,1.1,157
19:18:19,6.543156,9.692557,2770.02015,65664,1.55,1.031,4.9,69,389,1.2,161
19:18:23,6.695175,9.596908,2838.283154,65664,1.52,1.031,4.9,69,389,1.2,165
19:18:27,6.347487,9.222232,2905.887015,65664,1.24,1.032,4.9,69,389,1.2,169
19:18:31,6.523678,9.353648,2974.092653,65664,1.3,1.032,4.9,69,389,1.3,173
19:18:35,7.179619,9.491264,3041.709799,65664,1.98,1.031,4.9,69,389,1.3,177
19:18:39,6.875049,9.639288,3110.278145,65664,1.65,1.031,4.9,69,389,1.3,181
19:18:43,7.057308,9.788041,3178.543869,65664,1.57,1.031,4.9,69,389,1.3,185
19:18:47,7.692606,9.647137,3245.962289,65664,1.69,1.031,4.9,69,389,1.4,189
19:18:51,7.353957,8.99929,3313.607273,65664,1.82,1.032,4.9,69,389,1.4,193
19:18:55,7.390827,8.916229,3203.632503,62208,2.28,1.032,4.9,69,389,1.4,197
19:18:59,7.707382,9.525283,3449.839635,65664,1.9,1.032,4.9,69,389,1.4,201
19:19:03,7.712721,9.106473,3332.894787,46656,1.54,1.031,4.9,69,389,1.5,204
19:19:08,8.109864,9.519948,3603.13707,82080,1.5,1.031,4.9,69,389,1.5,209
19:19:12,8.311688,10.024831,3671.160393,65664,2.05,1.031,4.9,69,389,1.5,213
19:19:16,8.944614,9.840395,3738.871165,65664,1.95,1.031,4.9,69,389,1.6,217
19:19:20,8.404501,9.153506,3606.132314,62208,1.57,1.032,4.9,71,389,1.6,221
19:19:24,8.784369,9.589135,3874.413717,65664,2.22,1.032,4.9,71,389,1.6,225
19:19:28,9.023738,9.660328,3942.757275,65664,1.67,1.031,4.9,71,389,1.6,229
